ORDERLINESTATUS_KEY,ORDERSTATUSLINE_DESC,Trang_Thai_Dong_Dat_Hang,Miêu t?,LONG_DESC,Trang_Thai_Dong_Dat_Hang2,ORDERSTATUS_GROSS,ORDERSTATUS_SHIPPED,ORDERSTATUS_RETURN,ORDERSTATUS_CANCEL,AGG_CAT_CODE,UPDATE_DW_ORDERLINE,FINAL_STATUS,PRODUCTION_AREA,PRODUCTION_PLATFORM
AB,Check Abuser,,,"Ties to a customer flagged AB.  It is used when they place a check order, and acts just like a CE for a customer flagged AH.  No stock is allocated for these orders, but they can be reinstated by the Check Processing department when payment is received.",,,,,,,Y,Y,Order Entry,Stratus
AD,Authorization Declined,,,"Indicates that an attempted authorization has failed.  Covers situations:  bank declined the request, said 'call me', or did not respond in a timely manner.  If an AD is not worked on the order date, it goes to CD that night & a letter is generated.",,Y,,,,G,Y,N,Order Entry,Stratus
BP,"Backordered, No Product",,,"Indicates that an order could not be fulfilled, for one of a host of reasons.  The actual cause of the backorder can be determined by interrogating the reason code; primarily there is either no product in the warehouse or there's a problem with the order.",,Y,,,,G,Y,N,Customer Service,Stratus
BR,"Backordered, Reordered",,,"Indicates that an order will be fulfilled in the future.  Either the item was presented as an Advanced Sale Item (presell) or there has been a temporary delay in getting the item into our warehouse and ready for shipment, just prior to being aired.",,Y,,,,G,Y,N,Customer Service,Stratus
BW,Backordered at Warehouse,,,"This Fulfillment only status indicates that the order could not be sourced to a warehouse and a backorder (BOR) message was sent.  Besides sourcing, the picking and pack slip cancel processes can also send a BOR.",,Y,,,,G,N,N,Fulfillment,Mainframe
BX,Backorder Canceled,,,This status occurs when the DMG has determined that a backordered item cannot be fulfilled.  This status will also appear whenever a non-TSV Insider item is backordered (it is immediately canceled and a special letter sent).,,Y,,,Y,C,Y,Y,Customer Service,Stratus
CM,Cancel at Manifesting,,,This Fulfillment only status is used by WMS to indicate a message has been accepted by the sortation device to divert this package instead of shipping it.  Packages diverted to the cancel lane will be deboxed and the inventory made available.,,Y,,,,G,N,N,Fulfillment,Mainframe
CA,Cash Authorization,,,"This status lives only on the Data Warehouse, in OrderLineStatusHistory, and indicates the date/time the authorization is received.  It is used in status time reporting.",,Y,,,,G,N,N,Order Entry,Stratus
CC,Authorization Pending/Canceled Corporate,,,This is an interim status which indicates that the order was modified and an authorization attempt has not yet come back.  This code is also used as an intenal Fulfilment code. This Fulfillment only status indicates that an order that was originally sourced to the corporate level only has been canceled.,,Y,,,,G,Y,N,Order Entry,Stratus
CD,Credit Card Declined,,,"This is a hard decline, indicating that we checked with the bank on a referral, or that the customer did not call back with an alternate pay method on the order date.  Inventory is held for 16 days, then it goes CP.",,Y,,,,G,Y,N,Customer Service,Stratus
